Parcela,Block,Plot,PlotID,IDNUM,TRT,TRTNUM,N,P,CATIONS
1,B1,P1,B1P1,1,P,3,0,1,0
2,B1,P2,B1P2,2,N+CATIONS,6,1,0,1
3,B1,P3,B1P3,3,P+CATIONS,7,0,1,1
4,B1,P4,B1P4,4,CATIONS,4,0,0,1
5,B1,P5,B1P5,5,N,2,1,0,0
6,B1,P6,B1P6,6,N+P+CATIONS,8,1,1,1
7,B1,P7,B1P7,7,N+P,5,1,1,0
8,B1,P8,B1P8,8,CONTROL,1,0,0,0
9,B2,P1,B2P1,9,N+P+CATIONS,8,1,1,1
10,B2,P2,B2P2,10,N+P,5,1,1,0
11,B2,P3,B2P3,11,CATIONS,4,0,0,1
12,B2,P4,B2P4,12,P+CATIONS,7,0,1,1
13,B2,P5,B2P5,13,N,2,1,0,0
14,B2,P6,B2P6,14,N+CATIONS,6,1,0,1
15,B2,P7,B2P7,15,P,3,0,1,0
16,B2,P8,B2P8,16,CONTROL,1,0,0,0
17,B3,P1,B3P1,17,P+CATIONS,7,0,1,1
18,B3,P2,B3P2,18,CONTROL,1,0,0,0
19,B3,P3,B3P3,19,N+P+CATIONS,8,1,1,1
20,B3,P4,B3P4,20,P,3,0,1,0
21,B3,P5,B3P5,21,N+CATIONS,6,1,0,1
22,B3,P6,B3P6,22,CATIONS,4,0,0,1
23,B3,P7,B3P7,23,N+P,5,1,1,0
24,B3,P8,B3P8,24,N,2,1,0,0
25,B4,P1,B4P1,25,CONTROL,1,0,0,0
26,B4,P2,B4P2,26,N,2,1,0,0
27,B4,P3,B4P3,27,N+CATIONS,6,1,0,1
28,B4,P4,B4P4,28,N+P,5,1,1,0
29,B4,P5,B4P5,29,P,3,0,1,0
30,B4,P6,B4P6,30,CATIONS,4,0,0,1
31,B4,P7,B4P7,31,N+P+CATIONS,8,1,1,1
32,B4,P8,B4P8,32,P+CATIONS,7,0,1,1
